time	whole_blood_radioactivity
589	27.29026628
590	27.23261696
591	25.12693697
592	25.79977003
593	26.25372344
594	24.58361165
595	26.06355429
596	26.37171305
597	25.21245799
598	24.1254328
599	28.03312078
600	24.22627255
601	26.29937548
602	28.74330779
603	24.93011358
604	24.64955294
605	28.05479718
606	26.07889044
607	26.68411943
608	25.37000323
609	24.86720461
610	26.28589286
611	27.78035656
612	25.42753616
613	25.51599083
614	26.27140393
615	25.47077147
616	26.37535845
617	23.94116068
618	24.1774733
619	25.67713964
620	26.21211967
621	24.51609689
622	23.78579445
623	22.23575894
624	27.83656592
625	26.43556621
626	24.80938589
627	26.68946471
628	27.30212056
629	23.95498244
630	27.48261931
631	25.40337082
632	24.22023468
633	24.98281597
634	23.94798271
635	24.11148162
636	28.92686791
637	25.5648949
638	26.40556394
639	25.21813503
640	25.23242003
641	25.6228698
642	26.01376738
643	28.2883672
644	26.34470475
645	28.62211821
646	24.71477108
647	28.42802633
648	25.9512394
649	25.58806681
650	24.16595534
651	23.04497821
652	25.70727705
653	25.040155
654	23.84187901
655	23.931202
656	25.91732379
657	27.07083642
658	23.51622222
659	23.75750515
660	26.20424165
661	24.77343979
662	25.92940195
663	24.57301356
664	26.79722823
665	24.98212882
666	21.86851502
667	24.62873911
668	27.01079465
669	25.95595725
670	24.6706162
671	29.42938295
672	27.0720485
673	25.70839181
674	25.03313513
675	22.74693808
676	22.83653791
677	21.7749105
678	25.24354108
679	23.49014841
680	25.19524214
681	25.28646354
682	25.22379427
683	23.77449304
684	26.48572878
685	26.03794689
686	25.3581632
687	25.44973934
688	24.61437492
689	25.71048121
690	22.7090113
691	23.65032075
692	24.74761945
693	24.91657768
694	25.86090392
695	24.01415549
696	27.20964205
697	26.68143242
698	24.21035547
699	25.46779749
700	23.84893579
701	25.10753766
702	25.51110125
703	25.44763871
704	23.12358636
705	26.02250111
706	23.77403931
707	24.80256149
708	23.72285943
709	27.41069471
710	25.07938945
711	24.3109881
712	24.95119557
713	24.65192924
714	22.78461743
715	26.79788921
716	24.92929465
717	25.17900339
718	24.25041353
719	27.01592309
720	23.3340554
721	25.31481152
722	26.03795314
723	25.26470162
724	25.04248989
725	24.03122047
726	25.78125769
727	26.26974805
728	24.46714654
729	25.42975726
730	25.04861525
731	24.66704755
732	25.23539756
733	25.5666713
734	26.37409003
735	23.45378907
736	26.48336471
737	23.55977816
738	25.16235228
739	24.38151266
740	26.22515926
741	24.40914265
742	26.65315982
743	24.75555549
744	25.32773175
745	24.38471983
746	27.59185915
747	25.85005038
748	24.18644825
749	26.91897402
750	24.77387791
751	23.58722166
752	27.04485678
753	26.17848246
754	29.24118552
755	25.1650561
756	24.53709278
757	25.51487893
758	27.45844806
759	26.26758247
760	26.68481511
761	26.61941353
762	23.0902954
763	25.76292306
764	28.11654147
765	25.71142551
766	25.88746792
767	23.88268114
768	25.67431391
769	26.33587685
770	24.1660166
771	24.98929158
772	24.03140047
773	26.07135206
774	25.59949026
775	27.96756413
776	25.95328587
777	23.61217166
778	25.08854765
779	24.53346968
780	27.31432301
781	23.42148868
782	25.79720044
783	24.42608782
784	25.82643473
785	25.10659232
786	28.6323759
787	23.99133206
788	25.23102632
789	26.39045039
790	26.97833301
791	25.27392749
792	24.96052852
793	29.6481521
794	22.52846386
795	24.8388369
796	24.60657273
797	24.45619837
798	25.78536617
799	26.12901105
800	25.3207674
801	25.82920991
802	26.33824168
803	25.03406016
804	24.80078628
805	25.80524608
806	23.83800483
807	25.91712115
808	25.68376845
809	26.69104595
810	23.80930631
811	25.64462217
812	29.55441063
813	26.75157468
814	29.83686306
815	26.03480177
816	25.7173374
817	26.72913436
818	25.91277421
819	25.84425877
820	25.775658
